playlist_position,id,name,artist,artist_id,release_date,total_tracks,album_type,image_url,external_url,track_count,total_popularity,track_names,avg_track_popularity,track_name
1,7dAm8ShwJLFm9SaJ6Yc58O,Die Lit,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,2018-05-11,19,album,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,https://open.spotify.com/album/7dAm8ShwJLFm9SaJ6Yc58O,1,77,Long Time - Intro,77.0,Long Time - Intro
2,1bnHPO4dKK7IjvgrtVBcQh,So Much Fun,Young Thug,50co4Is1HCEo8bhOyUWKpn,2019-08-16,19,album,https://i.scdn.co/image/ab67616d0000b2736fcd1b6e205d0d19d9efa0cc,https://open.spotify.com/album/1bnHPO4dKK7IjvgrtVBcQh,1,53,Ecstasy (feat. Machine Gun Kelly),53.0,Ecstasy (feat. Machine Gun Kelly)
3,1crhG7YecAj6ZN0AAYMYsb,CARE FOR ME,Saba,7Hjbimq43OgxaBRpFXic4x,2018-04-05,10,album,https://i.scdn.co/image/ab67616d0000b2734e40d77b9cd4e59f992eff87,https://open.spotify.com/album/1crhG7YecAj6ZN0AAYMYsb,1,45,BROKEN GIRLS,45.0,BROKEN GIRLS
4,3cADvHRdKniF9ELCn1zbGH,Mama's Gun,Erykah Badu,7IfculRW2WXyzNQ8djX8WX,2000-10-31,14,album,https://i.scdn.co/image/ab67616d0000b2730d934cb462fae5a26f829efb,https://open.spotify.com/album/3cADvHRdKniF9ELCn1zbGH,1,74,Didn't Cha Know,74.0,Didn't Cha Know
5,6jjX8mGrsWtrpYpFhGMrg1,The Sun's Tirade,Isaiah Rashad,6aaMZ3fcfLv4tEbmY7bjRM,2016-09-02,17,album,https://i.scdn.co/image/ab67616d0000b273ed5e0ac2ad3fd4932103bd19,https://open.spotify.com/album/6jjX8mGrsWtrpYpFhGMrg1,1,66,Silkk da Shocka (feat. Syd),66.0,Silkk da Shocka (feat. Syd)
6,5h0KYWMZIg8xT6eRGYkNMh,Because the Internet,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,2013-12-10,19,album,https://i.scdn.co/image/ab67616d0000b27321b2b485aef32bcc96c1875c,https://open.spotify.com/album/5h0KYWMZIg8xT6eRGYkNMh,1,65,I. The Worst Guys,65.0,I. The Worst Guys
7,3MATDdrpHmQCmuOcozZjDa,TESTING,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,2018-05-25,15,album,https://i.scdn.co/image/ab67616d0000b2739feadc48ab0661e9b3a9170b,https://open.spotify.com/album/3MATDdrpHmQCmuOcozZjDa,1,63,Hun43rd,63.0,Hun43rd
8,1gPqbxhs90kppgOVxGOPzd,The Never Story,JID,6U3ybJ9UHNKEdsH7ktGBZ7,2017-03-10,12,album,https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3,https://open.spotify.com/album/1gPqbxhs90kppgOVxGOPzd,1,42,Doo Wop,42.0,Doo Wop
9,42WVQWuf1teDysXiOupIZt,Birds In The Trap Sing McKnight,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2016-09-16,14,album,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,https://open.spotify.com/album/42WVQWuf1teDysXiOupIZt,1,68,through the late night,68.0,through the late night
10,5FQ4sOGqRWUA5wO20AwPcO,BUBBA,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,2019-12-13,17,album,https://i.scdn.co/image/ab67616d0000b2732b9aca3204e667980ce6a939,https://open.spotify.com/album/5FQ4sOGqRWUA5wO20AwPcO,1,46,DO IT,46.0,DO IT
11,7Ffm3ZluTZRYEdlE5Jjlid,Acid Rap,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,2013-04-30,14,album,https://i.scdn.co/image/ab67616d0000b2735edaec1f5c672bed831533a3,https://open.spotify.com/album/7Ffm3ZluTZRYEdlE5Jjlid,1,55,Acid Rain,55.0,Acid Rain
12,4SZko61aMnmgvNhfhgTuD3,Graduation,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2007-09-11,14,album,https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a,https://open.spotify.com/album/4SZko61aMnmgvNhfhgTuD3,1,76,Good Morning,76.0,Good Morning
13,4JTOxuvM2jcSqAvEZtZsOO,Culture,Migos,6oMuImdp5ZcFhWP0ESe6mG,2017-01-27,13,album,https://i.scdn.co/image/ab67616d0000b2736275aeac316378b0dd4f31fd,https://open.spotify.com/album/4JTOxuvM2jcSqAvEZtZsOO,1,65,Kelly Price (feat. Travis Scott),65.0,Kelly Price (feat. Travis Scott)
14,7mgdTKTCdfnLoa1HXHvLYM,Lil Uzi Vert vs. The World,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,2016-05-27,9,album,https://i.scdn.co/image/ab67616d0000b273fc3a56b8b1c442030716c98b,https://open.spotify.com/album/7mgdTKTCdfnLoa1HXHvLYM,1,68,You Was Right,68.0,You Was Right
15,76290XdXVF9rPzGdNRWdCh,Ctrl,SZA,7tYKF4w9nC0nq9CsPZTHyP,2017-06-09,14,album,https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25,https://open.spotify.com/album/76290XdXVF9rPzGdNRWdCh,1,71,Pretty Little Birds (feat. Isaiah Rashad),71.0,Pretty Little Birds (feat. Isaiah Rashad)
16,0kL3TYRsSXnu0iJvFO3rud,untitled unmastered.,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2016-03-04,8,album,https://i.scdn.co/image/ab67616d0000b2738c697f553a46006a5d8886b2,https://open.spotify.com/album/0kL3TYRsSXnu0iJvFO3rud,1,62,untitled 05 | 09.21.2014.,62.0,untitled 05 | 09.21.2014.
17,1ZJpGFHYQSTDTIk6bzo5sh,PARTYPACK,PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,2020-10-16,7,album,https://i.scdn.co/image/ab67616d0000b27315054d6a444288d6d0c03e91,https://open.spotify.com/album/1ZJpGFHYQSTDTIk6bzo5sh,1,74,PERSIAN RUGS,74.0,PERSIAN RUGS
18,2Tyx5dLhHYkx6zeAdVaTzN,GO:OD AM,Mac Miller,4LLpKhyESsyAXpc4laK94U,2015-09-18,17,album,https://i.scdn.co/image/ab67616d0000b273ee0f38410382a255e4fb15f4,https://open.spotify.com/album/2Tyx5dLhHYkx6zeAdVaTzN,1,54,Jump,54.0,Jump
19,54B6i7KlSGD9fAzKQB7n89,T R A P S O U L (Deluxe),Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,2020-09-25,18,album,https://i.scdn.co/image/ab67616d0000b273f62cefefc39ba2cb384889f5,https://open.spotify.com/album/54B6i7KlSGD9fAzKQB7n89,1,45,Exchange,45.0,Exchange
20,3bTjPEgPzm1XwXsNlMVHhs,blkswn,Smino,1ybINI1qPiFbwDXamRtwxD,2017-03-14,18,album,https://i.scdn.co/image/ab67616d0000b2738be32b380765207f19d56435,https://open.spotify.com/album/3bTjPEgPzm1XwXsNlMVHhs,1,64,Wild Irish Roses,64.0,Wild Irish Roses
21,6X1x82kppWZmDzlXXK3y3q,Take Care (Deluxe),Drake,3TVXtAsR1Inumwj472S9r4,2011-11-15,19,album,https://i.scdn.co/image/ab67616d0000b273c7ea04a9b455e3f68ef82550,https://open.spotify.com/album/6X1x82kppWZmDzlXXK3y3q,1,66,The Real Her,66.0,The Real Her
22,7CAAClnSiXdMibPT1oyl4k,Trip,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,2017-09-22,22,album,https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2,https://open.spotify.com/album/7CAAClnSiXdMibPT1oyl4k,1,48,Psilocybin (Love In Full Effect),48.0,Psilocybin (Love In Full Effect)
23,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2018-08-03,17,album,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,https://open.spotify.com/album/41GuZcammIkupMPKH2OJ6I,1,78,STARGAZING,78.0,STARGAZING
24,5wtE5aLX5r7jOosmPhJhhk,Swimming,Mac Miller,4LLpKhyESsyAXpc4laK94U,2018-08-03,13,album,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,https://open.spotify.com/album/5wtE5aLX5r7jOosmPhJhhk,1,70,Wings,70.0,Wings
25,5FP9keIJnlSCKnkdVOf623,Born Sinner (Deluxe Version),J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2013-06-18,21,album,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,https://open.spotify.com/album/5FP9keIJnlSCKnkdVOf623,1,66,Forbidden Fruit (feat. Kendrick Lamar),66.0,Forbidden Fruit (feat. Kendrick Lamar)
26,3pLdWdkj83EYfDN6H2N8MR,Black Panther The Album Music From And Inspired By,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2018-02-09,14,album,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,https://open.spotify.com/album/3pLdWdkj83EYfDN6H2N8MR,1,95,"All The Stars (with SZA) - From ""Black Panther: The Album""",95.0,"All The Stars (with SZA) - From ""Black Panther: The Album"""
27,69g3CtOVg98TPOwqmI2K7Q,Ego Death,The Internet,7GN9PivdemQRKjDt4z5Zv8,2015-06-26,12,album,https://i.scdn.co/image/ab67616d0000b2731c1c33c63cdbcb5788975a93,https://open.spotify.com/album/69g3CtOVg98TPOwqmI2K7Q,1,56,Get Away,56.0,Get Away
28,3mH6qwIy9crq0I9YQbOuDf,Blonde,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2016-08-20,17,album,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,https://open.spotify.com/album/3mH6qwIy9crq0I9YQbOuDf,1,74,Nikes,74.0,Nikes
29,1BZoqf8Zje5nGdwZhOjAtD,The Miseducation of Lauryn Hill,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,1998-08-25,16,album,https://i.scdn.co/image/ab67616d0000b273e08b1250db5f75643f1508c9,https://open.spotify.com/album/1BZoqf8Zje5nGdwZhOjAtD,1,53,Intro,53.0,Intro
30,2qCyMMQ785sPH4Yx25GQZ8,Z,SZA,7tYKF4w9nC0nq9CsPZTHyP,2014-04-08,10,album,https://i.scdn.co/image/ab67616d0000b27332f1a3721efb2ddfb91b9c82,https://open.spotify.com/album/2qCyMMQ785sPH4Yx25GQZ8,1,69,Childs Play (feat. Chance the Rapper),69.0,Childs Play (feat. Chance the Rapper)
31,3C3t2bKhwEL3wdKioqWUDh,TIMELESS,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,2024-06-07,21,album,https://i.scdn.co/image/ab67616d0000b2733d1996a2dc962e53e12cb7cb,https://open.spotify.com/album/3C3t2bKhwEL3wdKioqWUDh,1,73,Witchy (feat. Childish Gambino),73.0,Witchy (feat. Childish Gambino)
32,3DGQ1iZ9XKUQxAUWjfC34w,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,2012,17,album,https://i.scdn.co/image/ab67616d0000b273d58e537cea05c2156792c53d,https://open.spotify.com/album/3DGQ1iZ9XKUQxAUWjfC34w,1,61,good kid,61.0,good kid
33,2noRn2Aes5aoNVsU6iWThc,Discovery,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,2001-03-12,14,album,https://i.scdn.co/image/ab67616d0000b2732c25dad9f8fd54652f7ba5df,https://open.spotify.com/album/2noRn2Aes5aoNVsU6iWThc,1,69,Voyager,69.0,Voyager
34,6f6tko6NWoH00cyFOl4VYQ,The Divine Feminine,Mac Miller,4LLpKhyESsyAXpc4laK94U,2016-09-16,10,album,https://i.scdn.co/image/ab67616d0000b2732e92f776279eaf45d14a33fd,https://open.spotify.com/album/6f6tko6NWoH00cyFOl4VYQ,1,80,Congratulations (feat. Bilal),80.0,Congratulations (feat. Bilal)
35,392p3shh2jkxUxY2VHvlH8,channel ORANGE,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2012-07-10,17,album,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5,https://open.spotify.com/album/392p3shh2jkxUxY2VHvlH8,1,82,Pyramids,82.0,Pyramids
36,6FED8aeieEnUWwQqAO9zT1,"Huncho Jack, Jack Huncho",Huncho Jack,6extd4B6hl8VTmnlhpl2bY,2017-12-21,13,album,https://i.scdn.co/image/ab67616d0000b273631973893e94d01cfcdf0e5e,https://open.spotify.com/album/6FED8aeieEnUWwQqAO9zT1,1,58,Huncho Jack,58.0,Huncho Jack
37,3CCnGldVQ90c26aFATC1PW,4 Your Eyez Only,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2016-12-09,10,album,https://i.scdn.co/image/ab67616d0000b273f4ca75192df162f78a24023e,https://open.spotify.com/album/3CCnGldVQ90c26aFATC1PW,1,68,4 Your Eyez Only,68.0,4 Your Eyez Only
38,5ra51AaWF3iVebyhlZ1aqq,1999,Joey Bada$$,2P5sC9cVZDToPxyomzF1UH,2012-06-12,15,album,https://i.scdn.co/image/ab67616d0000b273fcd3724fba954e6104e4530d,https://open.spotify.com/album/5ra51AaWF3iVebyhlZ1aqq,1,54,Summer Knights,54.0,Summer Knights
39,5gHs4xLkr2g66PRNsvSh83,BPL,D. Savage,6FqXAd1hQl7vVdIQ3hhtgc,2021-11-12,15,album,https://i.scdn.co/image/ab67616d0000b273022597a224e787f5d18a0f97,https://open.spotify.com/album/5gHs4xLkr2g66PRNsvSh83,1,41,Stay Alert,41.0,Stay Alert
40,4sb0eMpDn3upAFfyi4q2rw,Kind Of Blue (Legacy Edition),Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,1959-08-17,21,album,https://i.scdn.co/image/ab67616d0000b2730ebc17239b6b18ba88cfb8ca,https://open.spotify.com/album/4sb0eMpDn3upAFfyi4q2rw,1,67,Blue in Green (feat. John Coltrane & Bill Evans),67.0,Blue in Green (feat. John Coltrane & Bill Evans)
